slug,city,country_slug,lat,lng,timezone,population
mumbai,Mumbai,india,19.0760,72.8777,Asia/Kolkata,20700000
delhi,Delhi,india,28.7041,77.1025,Asia/Kolkata,32900000
bengaluru,Bengaluru,india,12.9716,77.5946,Asia/Kolkata,14800000
hyderabad,Hyderabad,india,17.3850,78.4867,Asia/Kolkata,10700000
chennai,Chennai,india,13.0827,80.2707,Asia/Kolkata,11700000
kolkata,Kolkata,india,22.5726,88.3639,Asia/Kolkata,16100000
new-york,New York,united-states,40.7128,-74.0060,America/New_York,8300000
los-angeles,Los Angeles,united-states,34.0522,-118.2437,America/Los_Angeles,3900000
chicago,Chicago,united-states,41.8781,-87.6298,America/Chicago,2700000
houston,Houston,united-states,29.7604,-95.3698,America/Chicago,2300000
miami,Miami,united-states,25.7617,-80.1918,America/New_York,470000
san-francisco,San Francisco,united-states,37.7749,-122.4194,America/Los_Angeles,870000
beijing,Beijing,china,39.9042,116.4074,Asia/Shanghai,22900000
shanghai,Shanghai,china,31.2304,121.4737,Asia/Shanghai,31000000
shenzhen,Shenzhen,china,22.5431,114.0579,Asia/Shanghai,17600000
guangzhou,Guangzhou,china,23.1291,113.2644,Asia/Shanghai,15100000
chongqing,Chongqing,china,29.4316,106.9123,Asia/Shanghai,18500000
hong-kong,Hong Kong,china,22.3193,114.1694,Asia/Hong_Kong,7500000
london,London,united-kingdom,51.5074,-0.1278,Europe/London,9600000
manchester,Manchester,united-kingdom,53.4808,-2.2426,Europe/London,2800000
birmingham,Birmingham,united-kingdom,52.4862,-1.8904,Europe/London,2600000
edinburgh,Edinburgh,united-kingdom,55.9533,-3.1883,Europe/London,540000
glasgow,Glasgow,united-kingdom,55.8642,-4.2518,Europe/London,1700000
liverpool,Liverpool,united-kingdom,53.4084,-2.9916,Europe/London,900000
dubai,Dubai,united-arab-emirates,25.2048,55.2708,Asia/Dubai,3600000
abu-dhabi,Abu Dhabi,united-arab-emirates,24.4539,54.3773,Asia/Dubai,1700000
sharjah,Sharjah,united-arab-emirates,25.3463,55.4209,Asia/Dubai,1800000
ajman,Ajman,united-arab-emirates,25.4052,55.5136,Asia/Dubai,540000
berlin,Berlin,germany,52.5200,13.4050,Europe/Berlin,3700000
munich,Munich,germany,48.1351,11.5820,Europe/Berlin,1500000
frankfurt,Frankfurt,germany,50.1109,8.6821,Europe/Berlin,770000
hamburg,Hamburg,germany,53.5511,9.9937,Europe/Berlin,1900000
cologne,Cologne,germany,50.9375,6.9603,Europe/Berlin,1100000
tokyo,Tokyo,japan,35.6895,139.6917,Asia/Tokyo,37000000
osaka,Osaka,japan,34.6937,135.5023,Asia/Tokyo,18900000
yokohama,Yokohama,japan,35.4437,139.6380,Asia/Tokyo,3800000
nagoya,Nagoya,japan,35.1815,136.9066,Asia/Tokyo,2300000
toronto,Toronto,canada,43.6532,-79.3832,America/Toronto,6300000
vancouver,Vancouver,canada,49.2827,-123.1207,America/Vancouver,2700000
montreal,Montreal,canada,45.5017,-73.5673,America/Toronto,4300000
calgary,Calgary,canada,51.0447,-114.0719,America/Edmonton,1700000
ottawa,Ottawa,canada,45.4215,-75.6972,America/Toronto,1500000
sydney,Sydney,australia,-33.8688,151.2093,Australia/Sydney,5400000
melbourne,Melbourne,australia,-37.8136,144.9631,Australia/Melbourne,5200000
brisbane,Brisbane,australia,-27.4698,153.0251,Australia/Brisbane,2600000
perth,Perth,australia,-31.9505,115.8605,Australia/Perth,2200000
paris,Paris,france,48.8566,2.3522,Europe/Paris,11200000
marseille,Marseille,france,43.2965,5.3698,Europe/Paris,870000
